1000.0,407905.17424688407,995, 11, 0, 11, 125, 11, 125, 
1000.0,408090.82332708203,972, 11, 0, 11, 129, 10, 117, 
1000.0,399800.2706640559,987, 12, 0, 10, 129, 11, 117, 
1000.0,401350.37259769195,994, 12, 0, 11, 125, 11, 117, 
1000.0,400177.912243781,994, 12, 0, 11, 125, 11, 117, 
1000.0,391694.8946679286,978, 13, 0, 10, 125, 11, 109, 
1000.0,384286.2568175661,972, 14, 0, 9, 125, 11, 106, 
1000.0,375585.3516947062,977, 15, 0, 9, 124, 11, 102, 
1000.0,374846.52887556737,977, 15, 0, 9, 124, 11, 102, 
1000.0,366066.6094877428,984, 16, 0, 9, 120, 11, 102, 
1000.0,366526.4890548932,984, 16, 0, 9, 120, 11, 102, 
950.0,357959.1807605241,966, 17, 0, 9, 111, 10, 102, 
950.0,349556.7164251208,998, 18, 0, 9, 112, 11, 102, 
950.0,349791.95925027493,998, 18, 0, 9, 112, 11, 102, 
950.0,307962.5217319604,962, 23, 0, 5, 118, 12, 63, 
950.0,308736.8775852499,962, 23, 0, 5, 118, 12, 63, 
950.0,308599.6559394093,962, 23, 0, 5, 118, 12, 63, 
950.0,308576.9010381263,962, 23, 0, 5, 118, 12, 63, 
950.0,309221.4975545992,962, 23, 0, 5, 118, 12, 63, 
950.0,300415.53742676537,982, 24, 0, 6, 118, 12, 58, 
950.0,291724.25324521546,998, 25, 0, 6, 111, 13, 58, 
950.0,283860.39836475614,987, 26, 0, 5, 113, 12, 58, 
902.5,283081.02658976405,987, 26, 0, 5, 113, 12, 58, 
902.5,282878.87422258593,987, 26, 0, 5, 113, 12, 58, 
902.5,274259.8218876768,972, 27, 0, 5, 104, 12, 52, 
902.5,275296.2445460931,972, 27, 0, 5, 104, 12, 52, 
902.5,275401.24319444114,972, 27, 0, 5, 104, 12, 52, 
902.5,274871.20533967443,972, 27, 0, 5, 104, 12, 52, 
902.5,274463.94984428055,972, 27, 0, 5, 104, 12, 52, 
902.5,275072.2207435782,972, 27, 0, 5, 104, 12, 52, 
902.5,275355.8816206956,972, 27, 0, 5, 104, 12, 52, 
902.5,274798.0913713236,972, 27, 0, 5, 104, 12, 52, 
902.5,276183.0225139106,972, 27, 0, 5, 104, 12, 52, 
857.375,276082.0615682956,972, 27, 0, 5, 104, 12, 52, 
857.375,275640.72240438283,972, 27, 0, 5, 104, 12, 52, 
